,Q,A
38,以下关于“文献综述”的说法，错误的是,C
39,科研规范具有( )和( )的规制性安排。,D
40,在科研课题申请过程中，资助单位要做到程序的公开、透明，具有相同资质的申请人应该有相同的机会获得资助。()制度在很大程度上提供了保证。,B
0,教育部《学位论文作假行为处理办法》（2012）规定，在读学生为他人代写学位论文、出售学位论文或者组织学位论文买卖，其所在学校或者学位授予单位对其最高处分是,D
1,学术乃天下之公器，只有通过学术批评才能去伪存真，明辨是非，发现真理，杜绝腐败，推动学术进步。不属于学术批评应遵循的原则是,C
2,"关于科学数据保存期限的规定,一般科学实验记录应当至少保存()年",C
3,以下关于“学术成果”的描述，错误的是,D
4,署名问题关乎学风建设，署名者要对其成果承担以下什么责任,D
5,以下关于“文献综述”的说法，错误的是,C
6,选取材料是搜集资料的重要环节。对研究资料进行区分和甄别是研究者的重要责任，研究者不应,D
7,科研规范主要是指从事科研活动的行为，其主体是,D
8,"关键词是指研究成果中起关键作用、最能代表成果中心内容特征的词或词组。关键词的选取也要遵循一定的学术规范,下列符合该规范的是",D
9,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“合格”的是,C
10,在课题申请中，不应超负荷申请，有的科技工作者同时参加了多个课题，应保证每年所有课题的时间加总之和不能超过()个月,D
11,合著论者应联合署名，署名次序应按( )排序。,D
12,加强学术道德和学风建设，遏制学术不端行为，必须,D
13,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面，必须实事求是。这条原则属于当代科研工作者应该坚持的,B
14,任何成果均应在发表前经所有署名人 ( )，署名者应对该项成果承担相应   的学术责任、道义责任和法律责任。,C
15,学术评价是同行专家或学术机构对评价对象符合特定学术标准的程度做出权威判断的学术活动。下列不属于学术评价的是,C
16,以下说法符合“学术规范”定义的是,B
17,以下哪项不属于学术共同体的特点。,D
18,作者撰写论著时，出于提高引用率，或扩大影响等目的，不必引而偏引，进行不必要的过度引用。这种行为属于,B
19,篡改通常表现为用个人主观意愿对科研结果横加干预，篡改行为严重地违背了科学研究中的基本规范要求， 其结果必然不具有可重复性。下列属于篡改行为的是,B
20,按照《学位论文作假行为处理办法》规定，一下属于所称学位论文作假行为的是,D
21,下列不属于一稿多投现象的是,C
22,以下关于“引文规范”的说法，错误的是,B
23,"在合作研究中，故意隐瞒应共享的信息,不提供相关数据和资源等。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须遵守科研规范中的",B
24,在科研结果及运用中常见的问题中，下列属于科研道德范畴的是,D
25,杜撰一般指按照某种科学假说和理论演绎出的期望值伪造虚假的观察与实验结果，从而支持理论的正确性或者确认实验结果的正确性。下列属于学术杜撰行为的是,B
26,下列哪项不属于查新的重要意义。,B
27,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“不合格”的是,D
28,学术界一般认为，在涉及到人的科研活动中要遵守学界公认的四项基本的伦理原则。下列不属于这四项基本原则的是,C
29,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的关键的是,B
30,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中,C
31,利用引注或者改写、转述引文，并以之构成自己论著作的主要部分或核心内容，这种对引注的不恰当或过度使用，也是一种剽窃行为。该引用行为属于,B
32,以下关于“综述”有关规定的说法，错误的是,C
33,"科研不当行为虽然没有违背科学活动的基本价值观，但却有严重的社会影响。
   下列哪一项不是科研不当行为的后果。",D
34,按照《学位论文作假行为处理办法》规定，学位申请人员的学位论文出现购买、由他人代写、剽窃或者伪造数据等作假情形的，学位授予单位可以取消其学位申请资格；已经获得学位的，学位授予单位可以依法撤销其学位，并注销学位证书。取消学位申请资格或者撤销学位的处理决定应当向社会公布。从做出处理决定之日起至少 ( ) 年内，各学位授予单位不得再接受其学位申请。,C
35,只有遵守学术规范，才能在学术共同体中得到认可，如果违反了学术规范，就会,C
36,引用应当完全出于学术目的，但有一些作者为了提高彼此的引用率，   采取“团体作战”的方式，在小团体之间进行，以提高彼此引用率为目的的相互   引用。这种行为属于,B
0,学术乃天下之公器，只有通过学术批评才能去伪存真，明辨是非，发现真理，杜绝腐败，推动学术进步。不属于学术批评应遵循的原则是,C
1,在向编辑部说明的情况下，以下说法中不属于“一稿多投”的是,B
2,根据《著作权法》第27 条，以下属于“适当引用”的是,D
3,下列选项中不属于“抄袭”的是,D
4,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，以下哪项不属于研究生学位论文的检测结果：,B
5,"同行、同事、同学为增加论文篇数以达到绩效考核标准，或获得职称晋升，或获得到其他回报，而彼此之间建立互惠协议，相互“搭车”,在对方的论著、学术论文中相互署名。这种行为是被严格禁止的，该署名属于",C
6,科研不当行为与科研不端行为都属于科学研究中存在的严重问题，其中科研不当行为虽然没有直接触犯明确规定的研究行为的道德底线， 但也同样违反科学的目的、精神和科学研究事业的基本道德原则。下列不属于科研不当行为的是,C
7,杜撰一般指按照某种科学假说和理论演绎出的期望值伪造虚假的观察与实验结果，从而支持理论的正确性或者确认实验结果的正确性。下列属于学术杜撰行为的是,B
8,按照《学位论文作假行为处理办法》规定，学位申请人员的学位论文出现购买、由他人代写、剽窃或者伪造数据等作假情形的，学位授予单位可以取消其学位申请资格；已经获得学位的，学位授予单位可以依法撤销其学位，并注销学位证书。取消学位申请资格或者撤销学位的处理决定应当向社会公布。从做出处理决定之日起至少 ( ) 年内，各学位授予单位不得再接受其学位申请。,C
9,篡改通常表现为用个人主观意愿对科研结果横加干预，篡改行为严重地违背了科学研究中的基本规范要求， 其结果必然不具有可重复性。下列属于篡改行为的是,B
10,以下哪项不属于学术共同体的特点。,D
11,同一篇文章发表在不同刊物上，但作者署名顺序不同，这种行为,B
12,科学研究是站在“巨人的肩膀”上的活动，对于前人的研究成果我们可以吸收和借鉴，但是借鉴的形式需要规范。我国国家标准局2005 年发布并实施的《文   后参考文献著录规则》，在国内出版的论著文献可以参考这一标准。下列属于引   用时需要注意的是,D
13,韩国首尔大学黄禹锡因违反科学道德，犯有诈骗、科研剽窃等行为，被拉下“国家最高科学家”神坛，最终以被判处有期徒刑18 个月、缓期两年执行的结局收场。这一事件极大地伤害了韩国公众对科学家的信任，也对韩国科技界的国际形象带来负面影响。该案例突出反映了当前科学道德与学风问题具有,B
14,中文引文注释的必要内容中，网络文献应标注,D
15,学术引用的规则有,D
16,"关键词是指研究成果中起关键作用、最能代表成果中心内容特征的词或词组。关键词的选取也要遵循一定的学术规范,下列符合该规范的是",D
17,对于研究生涉嫌学术失范行为的处理，应当坚持程序正当、证据充分等方   针，以及( )的原则。,D
18,千百年来科技工作者探究出来的基本方法，是具有普适性和实用性的，是科学发现和技术创新的“器”。这说明科研工作者在科学研究上应具有,D
19,学术规范是在学术共同体内部所构建的一种,B
20,学术界一般认为，在涉及到人的科研活动中要遵守学界公认的四项基本的伦理原则。下列不属于这四项基本原则的是,C
21,学风是学术风气的简称，是学术共同体及其成员在学术研究中表现出来的特殊的社会风气。下列哪一现象不属于学风不正。,D
22,以下说法符合“学术规范”定义的是,B
23,选取材料是搜集资料的重要环节。对研究资料进行区分和甄别是研究者的重要责任，研究者不应,D
24,以下属于“夹注”定义的是,B
25,下列关于“署名”的说法，错误的是,D
26,科研规范主要是指从事科研活动的行为，其主体是,D
27,"关于科学数据保存期限的规定,一般科学实验记录应当至少保存()年",C
28,以下关于“学术成果”的描述，错误的是,D
29,科学道德和学风问题的本质是,C
30,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“修改后复检”的是,B
31,"科研不当行为虽然没有违背科学活动的基本价值观，但却有严重的社会影响。
   下列哪一项不是科研不当行为的后果。",D
32,科研规范具有( )和( )的规制性安排。,D
33,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的关键的是,B
34,以下关于“引文规范”的说法，错误的是,B
35,高尚的学风道德会对科学文化的发育起到重要的作用。我国老一代科学家淡泊名利、勇攀高峰、无私奉献，以优良的科学道德和学术素养为科技工作者乃至全社会树立了光辉典范。但是目前，我国科学文化发育严重滞后于科学技术发展的内在要求，下列不属于这种严重滞后的表现的是,C
36,以下哪项不符合引文规范,B
37,在科研结果及运用中常见的问题中，下列属于科研道德范畴的是,D
38,与他人合作或者接受他人委托完成的发明创造，申请专利的权利根据合同的约定确定，该合同,C
39,著名学者钱三强指出，“虽然科学没有国界，科学家却是有祖国的。”毋庸置疑，每位科研工作者都应具有一定的社会责任感和使命感， 这不仅要求我们要始终不渝地坚持以造福人类为研究的最终目标， 还要求我们对科学研究的社会影响负责。这种品质属于科研工作者应具备的,C
0,按照2009 年9 月中国科协七届十一次常委会议审议通过的《科学道德规范（试行）》第九条规定，选拔和举荐人才的主要标准不包含下面哪项。,D
1,杜撰一般指按照某种科学假说和理论演绎出的期望值伪造虚假的观察与实验结果，从而支持理论的正确性或者确认实验结果的正确性。下列属于学术杜撰行为的是,B
2,凡转引他人成果，应注明转引,D
3,以下关于“直接引用”的说法，错误的是,D
4,"关键词是指研究成果中起关键作用、最能代表成果中心内容特征的词或词组。关键词的选取也要遵循一定的学术规范,下列符合该规范的是",D
5,学术评价是同行专家或学术机构对评价对象符合特定学术标准的程度做出权威判断的学术活动。下列不属于学术评价的是,C
6,学术引用的规则有,D
7,对于研究生涉嫌学术失范行为的处理，应当坚持程序正当、证据充分等方   针，以及( )的原则。,D
8,伪造和篡改可能导致的后果是,D
9,引文原则上应以使用 () 为原则。,B
10,高尚的学风道德会对科学文化的发育起到重要的作用。我国老一代科学家淡泊名利、勇攀高峰、无私奉献，以优良的科学道德和学术素养为科技工作者乃至全社会树立了光辉典范。但是目前，我国科学文化发育严重滞后于科学技术发展的内在要求，下列不属于这种严重滞后的表现的是,C
11,根据《学位论文作假行为处理办法》规定，为他人代写学位论文、出售学位论文或者组织学位论文买卖、代写的人员，属于在读学生的，其所在学校或者学位授予单位可以给予（ ）处分。,D
12,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中。,C
13,"同行、同事、同学为增加论文篇数以达到绩效考核标准，或获得职称晋升，或获得到其他回报，而彼此之间建立互惠协议，相互“搭车”,在对方的论著、学术论文中相互署名。这种行为是被严格禁止的，该署名属于",C
14,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，以下哪项不属于研究生学位论文的检测结果：,B
15,韩国首尔大学黄禹锡因违反科学道德，犯有诈骗、科研剽窃等行为，被拉下“国家最高科学家”神坛，最终以被判处有期徒刑18 个月、缓期两年执行的结局收场。这一事件极大地伤害了韩国公众对科学家的信任，也对韩国科技界的国际形象带来负面影响。该案例突出反映了当前科学道德与学风问题具有,B
16,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面，必须实事求是。这条原则属于当代科研工作者应该坚持的,B
17,以下关于“学术成果”的描述，错误的是,D
18,学术乃天下之公器，只有通过学术批评才能去伪存真，明辨是非，发现真理，杜绝腐败，推动学术进步。不属于学术批评应遵循的原则是,C
19,科研规范是基于科研道德和科学共同体共识的， 具有稳定性、连续性的规制和安排，因而具有文化的意义，要求研究者自觉遵守和共同维护。下列属于当代科技工作者应该坚持的规范是,B
20,科学研究是站在“巨人的肩膀”上的活动，对于前人的研究成果我们可以吸收和借鉴，但是借鉴的形式需要规范。我国国家标准局2005 年发布并实施的《文   后参考文献著录规则》，在国内出版的论著文献可以参考这一标准。下列属于引   用时需要注意的是,D
21,学术规范是在学术共同体内部所构建的一种,B
22,以下哪项不符合引文规范,B
23,下列关于“署名”的说法，错误的是,D
24,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中,C
25,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“修改后复检”的是,B
26,以下关于“学术引用”的说法中，错误的是,B
27,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面， 必须实事求是。这条原则属于当代科研工作者应该坚持的,B
28,下列属于科研伦理决策过程的是,D
29,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“合格”的是,C
30,下列不属于一稿多投现象的是,C
31,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学，制止科学道德与学风蜕变趋势的发展，努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的保障的是,C
32,千百年来科技工作者探究出来的基本方法，是具有普适性和实用性的，是科学发现和技术创新的“器”。这说明科研工作者在科学研究上应具有,D
33,以下关于“参考文献”的说法，错误的是,C
34,以下关于“文献综述”的说法，错误的是,C
35,根据《著作权法》第27 条，以下属于“适当引用”的是,D
36,科学道德和学风问题的本质是,C
37,以下哪种行为不属于学术不端行为。,D
38,篡改通常表现为用个人主观意愿对科研结果横加干预，篡改行为严重地违背了科学研究中的基本规范要求， 其结果必然不具有可重复性。下列属于篡改行为的是,B
39,以下说法符合“学术规范”定义的是,B
40,导语也称前言、导言，通常在学位论文或篇幅较长的论文中出现，导语应明确交待该领域的学术史，不能闭门造、车自说自话。下列哪个选项不属于导语基本要素,C
41,"关于科学数据保存期限的规定,一般科学实验记录应当至少保存()年",C
42,学风是学术风气的简称，是学术共同体及其成员在学术研究中表现出来的特殊的社会风气。下列哪一现象不属于学风不正。,D
43,署名问题关乎学风建设，署名者要对其成果承担以下什么责任,D
44,科研规范主要是指从事科研活动的行为，其主体是,D
0,利用引注或者改写、转述引文，并以之构成自己论著作的主要部分或核心内容，这种对引注的不恰当或过度使用，也是一种剽窃行为。该引用行为属于,B
1,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面， 必须实事求是。这条原则属于当代科研工作者应该坚持的,B
2,以下哪种行为不属于学术不端行为。,D
3,按照《学位论文作假行为处理办法》规定，学位申请人员的学位论文出现购买、由他人代写、剽窃或者伪造数据等作假情形的，学位授予单位可以取消其学位申请资格；已经获得学位的，学位授予单位可以依法撤销其学位，并注销学位证书。取消学位申请资格或者撤销学位的处理决定应当向社会公布。从做出处理决定之日起至少 ( ) 年内，各学位授予单位不得再接受其学位申请。,C
4,篡改通常表现为用个人主观意愿对科研结果横加干预，篡改行为严重地违背了科学研究中的基本规范要求， 其结果必然不具有可重复性。下列属于篡改行为的是,B
5,"科研不当行为虽然没有违背科学活动的基本价值观，但却有严重的社会影响。
   下列哪一项不是科研不当行为的后果。",D
6,学术引用的规则有,D
